 

stn;time;rka150d0
CRM;20150924;0.0
CRM;20150925;0.0
CRM;20150926;0.0
CRM;20150927;0.0
CRM;20150928;0.0
CRM;20150929;0.0
CRM;20150930;0.0
CRM;20151001;0.0
CRM;20151002;0.0
CRM;20151003;2.9
CRM;20151004;6.0
CRM;20151005;2.1
CRM;20151006;8.5
CRM;20151007;2.5
CRM;20151008;0.0
CRM;20151009;0.0
CRM;20151010;0.0
CRM;20151011;0.0
CRM;20151012;0.0
CRM;20151013;0.0
CRM;20151014;0.0
CRM;20151015;3.1
CRM;20151016;0.0
CRM;20151017;0.0
CRM;20151018;0.3
CRM;20151019;0.0
CRM;20151020;0.0
CRM;20151021;0.0
CRM;20151022;0.0
CRM;20151023;0.0
CRM;20151024;0.0
CRM;20151025;0.0
CRM;20151026;0.0
CRM;20151027;0.0
CRM;20151028;10.4
CRM;20151029;3.5
CRM;20151030;0.0
CRM;20151031;0.0
CRM;20151101;0.0
CRM;20151102;0.0
CRM;20151103;0.0
CRM;20151104;0.1
CRM;20151105;0.0
CRM;20151106;0.0
CRM;20151107;0.0
CRM;20151108;0.0
CRM;20151109;0.0
CRM;20151110;0.0
CRM;20151111;0.0
CRM;20151112;0.0
CRM;20151113;0.0
CRM;20151114;0.0
CRM;20151115;0.0
CRM;20151116;0.0
CRM;20151117;0.1
CRM;20151118;0.1
CRM;20151119;1.3
CRM;20151120;54.1
CRM;20151121;1.2
CRM;20151122;0.5
CRM;20151123;0.3
CRM;20151124;0.1
CRM;20151125;10.1
CRM;20151126;0.0
CRM;20151127;0.0
CRM;20151128;0.1
CRM;20151129;11.6
CRM;20151130;2.1
CRM;20151201;0.0
CRM;20151202;0.0
CRM;20151203;0.0
CRM;20151204;0.1
CRM;20151205;0.0
CRM;20151206;0.0
CRM;20151207;0.0
CRM;20151208;0.0
CRM;20151209;2.7
CRM;20151210;0.0
CRM;20151211;0.0
CRM;20151212;0.0
CRM;20151213;0.0
CRM;20151214;0.0
CRM;20151215;1.3
CRM;20151216;2.7
CRM;20151217;0.0
CRM;20151218;0.0
CRM;20151219;0.0
CRM;20151220;0.0
CRM;20151221;2.9
CRM;20151222;0.0
CRM;20151223;0.0
CRM;20151224;0.0
CRM;20151225;0.0
CRM;20151226;0.0
CRM;20151227;0.0
CRM;20151228;0.1
CRM;20151229;0.0
CRM;20151230;0.0
CRM;20151231;1.6
CRM;20160101;0.0
CRM;20160102;5.7
CRM;20160103;7.6
CRM;20160104;7.7
CRM;20160105;2.0
CRM;20160106;2.0
CRM;20160107;23.7
CRM;20160108;25.0
CRM;20160109;15.9
CRM;20160110;19.5
CRM;20160111;21.8
CRM;20160112;13.2
CRM;20160113;1.5
CRM;20160114;0.9
CRM;20160115;1.9
CRM;20160116;2.7
CRM;20160117;0.5
CRM;20160118;0.0
CRM;20160119;0.7
CRM;20160120;3.0
CRM;20160121;0.0
CRM;20160122;0.3
CRM;20160123;0.6
CRM;20160124;0.0
CRM;20160125;0.0
CRM;20160126;0.0
CRM;20160127;0.0
CRM;20160128;0.0
CRM;20160129;0.0
CRM;20160130;5.2
CRM;20160131;34.4
CRM;20160201;0.4
CRM;20160202;0.0
CRM;20160203;4.3
CRM;20160204;3.5
CRM;20160205;0.4
CRM;20160206;0.0
CRM;20160207;3.4
CRM;20160208;1.8
CRM;20160209;7.5
CRM;20160210;0.7
CRM;20160211;0.2
CRM;20160212;19.5
CRM;20160213;11.1
CRM;20160214;14.1
CRM;20160215;0.1
CRM;20160216;0.0
CRM;20160217;0.0
CRM;20160218;1.2
CRM;20160219;1.6
CRM;20160220;2.1
CRM;20160221;0.0
CRM;20160222;0.0
CRM;20160223;8.0
CRM;20160224;7.9
CRM;20160225;2.7
CRM;20160226;0.0
CRM;20160227;0.0
CRM;20160228;0.0
CRM;20160229;0.0
CRM;20160301;0.7
CRM;20160302;5.9
CRM;20160303;7.6
CRM;20160304;14.3
CRM;20160305;19.8
