 

stn;time;tre200d0;qtre200d0;mtre200d0
CRM;20150706;26.7;0;0
CRM;20150707;27.1;0;0
CRM;20150708;21.4;0;0
CRM;20150709;19.6;0;0
CRM;20150710;21.2;0;0
CRM;20150711;23.3;0;0
CRM;20150712;22.7;0;0
CRM;20150713;23.2;0;0
CRM;20150714;23.3;0;0
CRM;20150715;24.2;0;-3
CRM;20150716;24.8;0;0
CRM;20150717;23.8;0;-1
CRM;20150718;21.7;0;0
CRM;20150719;24.7;0;-1
CRM;20150720;24.8;0;0
CRM;20150721;26.3;0;0
CRM;20150722;24.8;0;0
CRM;20150723;22.4;0;-17
CRM;20150724;23.2;0;0
CRM;20150725;19.8;0;0
CRM;20150726;16.0;0;0
CRM;20150727;19.8;0;0
CRM;20150728;19.2;0;0
CRM;20150729;16.0;0;0
CRM;20150730;16.1;0;0
CRM;20150731;18.8;0;0
CRM;20150801;16.2;0;0
CRM;20150802;19.4;0;0
CRM;20150803;21.6;0;0
CRM;20150804;20.6;0;0
CRM;20150805;23.0;0;0
CRM;20150806;24.9;0;0
CRM;20150807;25.9;0;0
CRM;20150808;24.9;0;-21
CRM;20150809;21.5;0;0
CRM;20150810;21.7;0;0
CRM;20150811;23.7;0;0
CRM;20150812;24.8;0;-1
CRM;20150813;22.4;0;0
CRM;20150814;-;-;-
CRM;20150815;-;-;-
CRM;20150816;-;-;-
CRM;20150817;17.0;0;0
CRM;20150818;16.8;0;0
CRM;20150819;15.6;0;0
CRM;20150820;16.7;0;0
CRM;20150821;18.7;0;-22
CRM;20150822;19.1;0;0
CRM;20150823;17.4;0;0
CRM;20150824;16.7;0;-1
CRM;20150825;16.2;0;0
CRM;20150826;16.4;0;0
CRM;20150827;19.8;0;0
CRM;20150828;23.2;0;0
CRM;20150829;22.3;0;-1
CRM;20150830;23.4;0;0
CRM;20150831;22.7;0;0
CRM;20150901;18.9;0;0
CRM;20150902;18.1;0;0
CRM;20150903;16.9;0;0
CRM;20150904;16.0;0;0
CRM;20150905;14.4;0;0
CRM;20150906;13.9;0;0
CRM;20150907;14.1;0;0
CRM;20150908;15.4;0;0
CRM;20150909;15.9;0;0
CRM;20150910;15.0;0;0
CRM;20150911;13.8;0;0
CRM;20150912;16.0;0;0
CRM;20150913;17.4;0;0
CRM;20150914;14.9;0;0
CRM;20150915;14.6;0;0
CRM;20150916;15.9;0;0
CRM;20150917;13.5;0;0
CRM;20150918;12.2;0;0
CRM;20150919;12.9;0;0
CRM;20150920;13.7;0;-6
CRM;20150921;12.5;0;0
CRM;20150922;12.4;0;0
CRM;20150923;10.5;0;-6
CRM;20150924;11.8;0;0
CRM;20150925;12.4;0;0
CRM;20150926;14.0;0;0
CRM;20150927;14.2;0;0
CRM;20150928;12.7;0;0
CRM;20150929;12.5;0;0
CRM;20150930;10.5;0;0
CRM;20151001;9.4;0;0
CRM;20151002;10.6;0;0
CRM;20151003;12.8;0;0
CRM;20151004;12.5;0;0
CRM;20151005;13.9;0;-11
CRM;20151006;14.9;0;0
CRM;20151007;13.8;0;0
CRM;20151008;11.5;0;0
CRM;20151009;12.6;0;0
CRM;20151010;11.6;0;0
CRM;20151011;12.2;0;0
CRM;20151012;11.4;0;0
CRM;20151013;9.6;0;0
CRM;20151014;7.5;0;0
CRM;20151015;5.7;0;0
CRM;20151016;5.3;0;0
CRM;20151017;6.0;0;0
CRM;20151018;7.4;0;0
CRM;20151019;7.7;0;0
CRM;20151020;7.0;0;0
CRM;20151021;7.2;0;0
CRM;20151022;6.6;0;0
CRM;20151023;10.1;0;0
CRM;20151024;10.0;0;0
CRM;20151025;11.4;0;0
CRM;20151026;9.2;0;0
CRM;20151027;9.6;0;0
CRM;20151028;9.7;0;0
CRM;20151029;10.5;0;0
CRM;20151030;10.8;0;0
CRM;20151031;9.5;0;0
CRM;20151101;7.3;0;0
CRM;20151102;6.6;0;0
CRM;20151103;5.7;0;0
CRM;20151104;8.5;0;0
CRM;20151105;8.0;0;0
CRM;20151106;9.6;0;0
CRM;20151107;10.8;0;0
CRM;20151108;9.3;0;0
CRM;20151109;11.5;0;0
CRM;20151110;8.8;0;0
CRM;20151111;-;-;-
CRM;20151112;-;-;-
CRM;20151113;-;-;-
CRM;20151114;11.5;0;0
CRM;20151115;11.3;0;0
CRM;20151116;8.4;0;0
CRM;20151117;10.9;0;0
CRM;20151118;13.2;0;-1
CRM;20151119;13.0;0;0
CRM;20151120;12.0;0;0
CRM;20151121;4.2;0;0
CRM;20151122;2.5;0;0
CRM;20151123;1.2;0;0
CRM;20151124;0.1;0;0
CRM;20151125;3.6;0;0
CRM;20151126;3.5;0;0
CRM;20151127;1.8;0;0
CRM;20151128;2.3;0;-1
CRM;20151129;4.9;0;0
CRM;20151130;8.9;0;-18
CRM;20151201;7.7;0;0
CRM;20151202;1.8;0;0
